Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,5dpf_Intensity_1 Spectral Count,5dpf_Intensity_10 Spectral Count,5dpf_Intensity_11 Spectral Count,5dpf_Intensity_12 Spectral Count,5dpf_Intensity_2 Spectral Count,5dpf_Intensity_3 Spectral Count,5dpf_Intensity_4 Spectral Count,5dpf_Intensity_5 Spectral Count,5dpf_Intensity_6 Spectral Count,5dpf_Intensity_7 Spectral Count,5dpf_Intensity_8 Spectral Count,5dpf_Intensity_9 Spectral Count,3dpf_Intensity_1 Spectral Count,3dpf_Intensity_10 Spectral Count,3dpf_Intensity_11 Spectral Count,3dpf_Intensity_12 Spectral Count,3dpf_Intensity_2 Spectral Count,3dpf_Intensity_3 Spectral Count,3dpf_Intensity_4 Spectral Count,3dpf_Intensity_5 Spectral Count,3dpf_Intensity_6 Spectral Count,3dpf_Intensity_7 Spectral Count,3dpf_Intensity_8 Spectral Count,3dpf_Intensity_9 Spectral Count,5dpf_Intensity_1 Unique Spectral Count,5dpf_Intensity_10 Unique Spectral Count,5dpf_Intensity_11 Unique Spectral Count,5dpf_Intensity_12 Unique Spectral Count,5dpf_Intensity_2 Unique Spectral Count,5dpf_Intensity_3 Unique Spectral Count,5dpf_Intensity_4 Unique Spectral Count,5dpf_Intensity_5 Unique Spectral Count,5dpf_Intensity_6 Unique Spectral Count,5dpf_Intensity_7 Unique Spectral Count,5dpf_Intensity_8 Unique Spectral Count,5dpf_Intensity_9 Unique Spectral Count,3dpf_Intensity_1 Unique Spectral Count,3dpf_Intensity_10 Unique Spectral Count,3dpf_Intensity_11 Unique Spectral Count,3dpf_Intensity_12 Unique Spectral Count,3dpf_Intensity_2 Unique Spectral Count,3dpf_Intensity_3 Unique Spectral Count,3dpf_Intensity_4 Unique Spectral Count,3dpf_Intensity_5 Unique Spectral Count,3dpf_Intensity_6 Unique Spectral Count,3dpf_Intensity_7 Unique Spectral Count,3dpf_Intensity_8 Unique Spectral Count,3dpf_Intensity_9 Unique Spectral Count,5dpf_Intensity_1 Total Spectral Count,5dpf_Intensity_10 Total Spectral Count,5dpf_Intensity_11 Total Spectral Count,5dpf_Intensity_12 Total Spectral Count,5dpf_Intensity_2 Total Spectral Count,5dpf_Intensity_3 Total Spectral Count,5dpf_Intensity_4 Total Spectral Count,5dpf_Intensity_5 Total Spectral Count,5dpf_Intensity_6 Total Spectral Count,5dpf_Intensity_7 Total Spectral Count,5dpf_Intensity_8 Total Spectral Count,5dpf_Intensity_9 Total Spectral Count,3dpf_Intensity_1 Total Spectral Count,3dpf_Intensity_10 Total Spectral Count,3dpf_Intensity_11 Total Spectral Count,3dpf_Intensity_12 Total Spectral Count,3dpf_Intensity_2 Total Spectral Count,3dpf_Intensity_3 Total Spectral Count,3dpf_Intensity_4 Total Spectral Count,3dpf_Intensity_5 Total Spectral Count,3dpf_Intensity_6 Total Spectral Count,3dpf_Intensity_7 Total Spectral Count,3dpf_Intensity_8 Total Spectral Count,3dpf_Intensity_9 Total Spectral Count,5dpf_Intensity_1 Intensity,5dpf_Intensity_10 Intensity,5dpf_Intensity_11 Intensity,5dpf_Intensity_12 Intensity,5dpf_Intensity_2 Intensity,5dpf_Intensity_3 Intensity,5dpf_Intensity_4 Intensity,5dpf_Intensity_5 Intensity,5dpf_Intensity_6 Intensity,5dpf_Intensity_7 Intensity,5dpf_Intensity_8 Intensity,5dpf_Intensity_9 Intensity,3dpf_Intensity_1 Intensity,3dpf_Intensity_10 Intensity,3dpf_Intensity_11 Intensity,3dpf_Intensity_12 Intensity,3dpf_Intensity_2 Intensity,3dpf_Intensity_3 Intensity,3dpf_Intensity_4 Intensity,3dpf_Intensity_5 Intensity,3dpf_Intensity_6 Intensity,3dpf_Intensity_7 Intensity,3dpf_Intensity_8 Intensity,3dpf_Intensity_9 Intensity,5dpf_Intensity_1 MaxLFQ Intensity,5dpf_Intensity_10 MaxLFQ Intensity,5dpf_Intensity_11 MaxLFQ Intensity,5dpf_Intensity_12 MaxLFQ Intensity,5dpf_Intensity_2 MaxLFQ Intensity,5dpf_Intensity_3 MaxLFQ Intensity,5dpf_Intensity_4 MaxLFQ Intensity,5dpf_Intensity_5 MaxLFQ Intensity,5dpf_Intensity_6 MaxLFQ Intensity,5dpf_Intensity_7 MaxLFQ Intensity,5dpf_Intensity_8 MaxLFQ Intensity,5dpf_Intensity_9 MaxLFQ Intensity,3dpf_Intensity_1 MaxLFQ Intensity,3dpf_Intensity_10 MaxLFQ Intensity,3dpf_Intensity_11 MaxLFQ Intensity,3dpf_Intensity_12 MaxLFQ Intensity,3dpf_Intensity_2 MaxLFQ Intensity,3dpf_Intensity_3 MaxLFQ Intensity,3dpf_Intensity_4 MaxLFQ Intensity,3dpf_Intensity_5 MaxLFQ Intensity,3dpf_Intensity_6 MaxLFQ Intensity,3dpf_Intensity_7 MaxLFQ Intensity,3dpf_Intensity_8 MaxLFQ Intensity,3dpf_Intensity_9 MaxLFQ Intensity,Indistinguishable Proteins
sp|A0A0G2KQY6|S39AE_DANRE,A0A0G2KQY6,S39AE_DANRE,slc39a14,494,Danio rerio,2:Experimental evidence at transcript level,Metal cation symporter ZIP14,1,0.999,3,12,12,12,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,2986418.8,3818169.2,1661636.2,2216754.8,2294951.5,0,1809779.1,0,0,2861396,0,0,2890314.5,0,0,0,0,0,1613706.8,0,0,0,0,0,2986418.8,3818169.2,1661636.2,2216754.8,2294951.5,0,1809779.1,0,0,0,0,0,2890314.5,0,0,0,0,0,1613706.8,0,
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,1,0.999,14,155,155,155,7,7,7,6,5,11,8,7,5,6,6,6,6,6,6,7,6,7,7,9,1,5,6,8,7,7,7,6,5,11,8,7,5,6,6,6,6,6,6,7,6,7,7,9,1,5,6,8,7,7,7,6,5,11,8,7,5,6,6,6,6,6,6,7,6,7,7,9,1,5,6,8,182674352,116582552,140061136,128529840,133348936,191886112,170986656,119146296,255234896,181515744,172456304,134279072,129616776,145341728,171655856,146792080,153812160,142097184,153173264,132461760,42588572,66284932,76308656,133178720,55973512,51352128,53539528,49379428,55115716,47650380,44937356,46125604,55590044,44840916,44719148,48621568,37822928,37388484,38683512,37753892,35130804,32210184,34605944,31446206,25019166,27584470,31094722,32548814,
sp|A0A0R4IB93|UBP48_DANRE,A0A0R4IB93,UBP48_DANRE,usp48,1047,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 48,1,0.999,7,47,47,47,1,1,0,1,2,2,0,2,1,1,1,2,5,3,4,2,3,1,3,3,0,3,3,3,1,1,0,1,2,2,0,2,1,1,1,2,5,3,4,2,3,1,3,3,0,3,3,3,1,1,0,1,2,2,0,2,1,1,1,2,5,3,4,2,3,1,3,3,0,3,3,3,2721858,6458035,0,1279736.6,5105015,2234958.5,0,12007213,8122766,9726766,6443250.5,3014307.8,17277844,15629792,13106916,6924280,18314456,8124010,10467790,15804961,0,10910010,13815779,12358005,3983526.8,3733426.2,0,6086061,3309194.8,3270933.5,0,6142336,3629361,5341827.5,7127040.5,4411536.5,8375641,6877353,6032984.5,3356835,8186034,3958031.2,6515437,8376818.5,0,6041066,7759669,5890201,
sp|A0A0R4IBL7|HTF4_DANRE,A0A0R4IBL7,HTF4_DANRE,tcf12,726,Danio rerio,2:Experimental evidence at transcript level,Transcription factor 12,0.5108,0.9771,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,1,0.999,25,179,179,179,6,8,2,7,11,4,7,4,5,3,3,3,11,15,12,10,9,4,10,12,0,13,11,9,6,8,2,7,11,4,7,4,5,3,3,3,11,15,12,10,9,4,10,12,0,13,11,9,6,8,2,7,11,4,7,4,5,3,3,3,11,15,12,10,9,4,10,12,0,13,11,9,72574440,62674200,52945956,78229848,81033040,92102024,42949684,49169032,73602832,28479252,37375876,52761144,100514648,123959184,211076768,132181608,91156152,92177400,116735272,92457744,20519584,90525736,89911240,106528192,16831692,17346426,18562096,18237070,16753518,18533442,14578023,17932864,16424847,11060211,13554521,15369280,17637608,19962762,23559268,23240210,18000962,17381950,19489610,18800098,12559743,16809822,17232856,16727879,
sp|A0A0R4IES7|BLTP1_DANRE,A0A0R4IES7,BLTP1_DANRE,bltp1,4923,Danio rerio,3:Protein inferred from homology,Bridge-like lipid transfer protein family member 1,1,0.9941,7,13,13,13,1,1,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,1,0,0,1,0,1,1,266596544,234211600,251139664,0,127299368,262132288,58826248,272737440,341203456,392995904,246750512,0,403389.1,0,0,0,206792.53,0,552194.1,0,210468384,0,227752.9,0,217459312,217263552,232966656,0,123502560,243163840,54569456,229150432,193846400,237992752,228895120,0,403389.1,0,0,0,206792.53,0,9353104,0,195238448,0,227752.9,0,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,23,721,721,721,29,26,19,31,38,35,31,29,24,29,29,29,33,36,36,30,33,28,27,31,15,35,33,35,29,26,19,31,38,35,31,29,24,29,29,29,33,36,36,30,33,28,27,31,15,35,33,35,29,26,19,31,38,35,31,29,24,29,29,29,33,36,36,30,33,28,27,31,15,35,33,35,2433855230,2569076740,2169374460,2316086020,2929062910,2381363970,2505147900,2610263300,2229780220,1924871300,2081769340,2214236420,2200932100,1993943040,1484504960,1968955140,2305113340,2259138820,1549356930,1604256380,1463146880,1871620480,1855131010,1813308540,543363580,556771460,489672288,493291936,623474050,530977952,569124420,610379390,511035680,465209280,468666272,485411328,479370752,360320000,338286432,405422240,523060224,473412736,360214336,392376800,309282912,482960160,466005856,453361088,
sp|A0A0R4IKJ1|CAPAM_DANRE,A0A0R4IKJ1,CAPAM_DANRE,pcif1,721,Danio rerio,1:Experimental evidence at protein level,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase,1,0.999,8,28,28,28,0,0,0,0,4,1,0,0,0,0,0,0,4,2,1,1,3,3,1,0,0,2,2,4,0,0,0,0,4,1,0,0,0,0,0,0,4,2,1,1,3,3,1,0,0,2,2,4,0,0,0,0,4,1,0,0,0,0,0,0,4,2,1,1,3,3,1,0,0,2,2,4,0,0,0,2752987,11420937,10235910,798587.2,7683678,0,0,0,1405079.6,28122212,15629702,3903825.8,1338733.4,34273324,32432700,6116526.5,7962143,0,11550851,9601664,17650848,0,0,0,1969175.1,7521042.5,6099260.5,1652079.1,4734409.5,0,0,0,2906761.8,12711474,5033997.5,4406680.5,1511176.6,17416806,19165682,6314557,7722283,0,8568489,7049897.5,8581539,
sp|A0A0R4IKU3|RECK_DANRE,A0A0R4IKU3,RECK_DANRE,reck,955,Danio rerio,1:Experimental evidence at protein level,Reversion-inducing cysteine-rich protein with Kazal motifs,1,0.999,17,99,99,99,4,2,1,2,3,2,1,5,3,1,1,2,3,11,10,8,2,3,10,6,3,7,4,5,4,2,1,2,3,2,1,5,3,1,1,2,3,11,10,8,2,3,10,6,3,7,4,5,4,2,1,2,3,2,1,5,3,1,1,2,3,11,10,8,2,3,10,6,3,7,4,5,12724004,9198006,10496666,13764669,14114485,9865618,11069280,20212644,16664506,10598030,9429971,10788658,26587512,84521472,62477876,52772104,19887896,20763544,34789176,53632748,32006988,23395930,27694510,25166928,9621441,7387223.5,11502406,11010758,10610908,10810894,12129885,14387149,12558471,11613482,10333505,11822375,9250454,15712617,8436944,11346414,8464114,8764647,12468390,11768371,14859416,8939378,8388403,8805505,
sp|A0A0R4IQZ2|ZDH13_DANRE,A0A0R4IQZ2,ZDH13_DANRE,zdhhc13,645,Danio rerio,2:Experimental evidence at transcript level,Putative palmitoyltransferase ZDHHC13,0.9999,0.999,4,22,21,22,1,1,0,0,1,1,0,0,1,1,2,1,2,2,1,0,1,1,2,0,0,2,2,0,1,1,0,0,0,1,0,0,1,1,2,1,2,2,1,0,1,1,2,0,0,2,2,0,1,1,0,0,1,1,0,0,1,1,2,1,2,2,1,0,1,1,2,0,0,2,2,0,279237536,271120544,269413600,238412736,1498414.9,246866912,0,239626432,278435264,240602256,240641936,207824160,152921296,129734296,124680824,140915168,139546976,131666384,146946736,136143424,0,138741504,128562976,0,263338336,255683504,254073760,224838016,136843008,232810832,0,225982608,262581744,226902864,226940288,195991088,145656400,122347496,117581760,136359664,131601464,116741304,140755696,128391704,0,130841856,116225136,0,
