accession,name,ensembl_gene_id,ensembl_transcript_id,chromosome_name,2h_logFC,2h_adj.P.Val
A0A2R8QPY7,FO834857.1,ENSDARG00000112895,ENSDART00000183228,6,2.0229687827671725,2.5357461e-5
A5JNG8,nanog,ENSDARG00000075113,ENSDART00000114762,24,1.8725167374809764,2.5357461e-5
Q6PBZ5,aif1l,ENSDARG00000009336,ENSDART00000009500,5,1.5845704935900242,1.4954317e-5
X1WG15,limd2,ENSDARG00000078092,ENSDART00000155298,3,1.5135882883499774,7.704363e-6
F1Q7Q6,marcksa,ENSDARG00000004049,ENSDART00000123096,20,1.2053896736201737,3.84395842e-4
F1R211,sox19b,ENSDARG00000040266,ENSDART00000058910,7,1.1681402200500988,1.05918639e-4
A0A0R4IU36,alyref,ENSDARG00000077732,ENSDART00000166922,3,1.136586484993344,0.010252651204
F1QM98,znf281b,ENSDARG00000035910,ENSDART00000141898,12,1.1099870672320484,4.61118755e-4
F1R2I7,nbr1b,ENSDARG00000078772,ENSDART00000112742,3,1.0528360104139989,0.029705917174
Q1LU98,gmnn,ENSDARG00000035957,ENSDART00000132182,19,1.0413822484629265,1.4954317e-5
A0A0R4I9C7,pou5f3,ENSDARG00000044774,ENSDART00000065817,21,1.0091701528910262,0.004388941098
