accession,name,ensembl_gene_id,ensembl_transcript_id,chromosome_name,4h_logFC,4h_adj.P.Val
Q6PBZ5,aif1l,ENSDARG00000009336,ENSDART00000009500,5,2.991500972102223,1.681043e-9
F1QM98,znf281b,ENSDARG00000035910,ENSDART00000141898,12,2.837384829059848,3.248102e-9
A0A0R4IRD0,stt3a,ENSDARG00000104953,ENSDART00000159501,10,2.8089381554406265,0.025166975801254
F1Q7T3,slc16a3,ENSDARG00000045051,ENSDART00000066233,12,2.8080642567861265,6.2290453141e-5
X1WG15,limd2,ENSDARG00000078092,ENSDART00000155298,3,2.782306929019027,1.324712e-9
F1R1X3,pon3.2,ENSDARG00000097789,ENSDART00000058959,16,2.566898154456349,0.016576697645435
A0A2R8QPY7,FO834857.1,ENSDARG00000112895,ENSDART00000183228,6,2.4542244470599477,6.34016662e-7
A0A0R4IU36,alyref,ENSDARG00000077732,ENSDART00000166922,3,2.3847064902065944,2.128428244e-6
E7FCE4,ror2,ENSDARG00000076227,ENSDART00000114491,10,2.3710643414423003,6.406641e-9
Q6NYR9,prps1a,ENSDARG00000015524,ENSDART00000171039,5,2.2986755602454014,0.030980522775489
Q7SZC2,cse1l,ENSDARG00000006963,ENSDART00000013203,11,2.2617131056031496,0.030980522775489
A0A2R8Q0U0,si:dkey-108k21.21,ENSDARG00000091905,ENSDART00000183252,25,2.248096224096126,8.02220439732e-4
F1QHE5,psmd14,ENSDARG00000063100,ENSDART00000091901,11,2.2223850984205025,0.046626011192417
A5JNG8,nanog,ENSDARG00000075113,ENSDART00000114762,24,2.2121683513733017,8.70509548e-7
R4GE02,si:ch211-113a14.11,ENSDARG00000086591,ENSDART00000152735,25,2.204483247980649,3.805986947e-6
A0A2R8QUZ1,ctcf,ENSDARG00000056621,ENSDART00000181644,18,2.1822795847821013,2.6935614e-8
Q9MIY9,mt-nd2,ENSDARG00000063899,ENSDART00000093600,NA,2.1425409242008815,0.013444569533137
F1QK71,mcm5,ENSDARG00000019507,ENSDART00000024316,3,2.0952356731441255,0.041869498041097
Q6AXJ2,eif3ha,ENSDARG00000102452,ENSDART00000159372,16,2.0659390082925015,0.048378171951959
Q6P5K3,rplp0,ENSDARG00000051783,ENSDART00000073462,5,2.061994516941176,0.047757125355419
Q5TYZ5,cand1,ENSDARG00000017841,ENSDART00000003694,4,2.061007731566304,0.045910974106852
F1R211,sox19b,ENSDARG00000040266,ENSDART00000058910,7,1.991838501214074,5.1277697e-8
F1QPS1,alg2,ENSDARG00000070399,ENSDART00000103257,16,1.9346372660178517,0.048659583511956
F1QVH3,ebag9,ENSDARG00000040021,ENSDART00000058546,16,1.932310866249276,3.58119753e-7
B0JZL0,tubg1,ENSDARG00000015610,ENSDART00000110716,3,1.9267739056339976,0.036178490590896
Q803F6,rpsa,ENSDARG00000019181,ENSDART00000114282,6,1.9266229972480504,0.02897626025639
F1Q8C7,tagapa,ENSDARG00000002353,ENSDART00000147557,17,1.8915040862008852,0.049262759043344
B0JZJ1,ddx5,ENSDARG00000038068,ENSDART00000163782,3,1.8671741990030308,0.020928653708377
F1Q7Q6,marcksa,ENSDARG00000004049,ENSDART00000123096,20,1.8563847196362244,7.99742996e-7
A0A286Y917,anln,ENSDARG00000060917,ENSDART00000179357,19,1.8424462837147768,1.681043e-9
B0R1D0,psmc4,ENSDARG00000027099,ENSDART00000034078,16,1.834841096434196,0.040259669915095
Q6PNC5,epb41l5,ENSDARG00000032324,ENSDART00000132878,9,1.83356147402335,2.309284827e-6
Q6P102,ywhabl,ENSDARG00000040287,ENSDART00000189335,16,1.824466409596172,0.016890173692985
E9QG06,eif3ea,ENSDARG00000090697,ENSDART00000140684,16,1.819568944553572,0.044191615797728
B8JLL1,umps,ENSDARG00000012215,ENSDART00000030995,9,1.8055452654532225,0.013988766221745
A0A0R4IFJ4,pcxa,ENSDARG00000098766,ENSDART00000168379,21,1.76836424809495,0.019365166572658
F1R058,sde2,ENSDARG00000024124,ENSDART00000043774,22,1.7588546485960004,1.079617e-9
