Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,115_1 Spectral Count,119_2 Spectral Count,124_3 Spectral Count,2_5 Spectral Count,4_6 Spectral Count,57_4 Spectral Count,5_7 Spectral Count,d6_8 Spectral Count,115_1 Unique Spectral Count,119_2 Unique Spectral Count,124_3 Unique Spectral Count,2_5 Unique Spectral Count,4_6 Unique Spectral Count,57_4 Unique Spectral Count,5_7 Unique Spectral Count,d6_8 Unique Spectral Count,115_1 Total Spectral Count,119_2 Total Spectral Count,124_3 Total Spectral Count,2_5 Total Spectral Count,4_6 Total Spectral Count,57_4 Total Spectral Count,5_7 Total Spectral Count,d6_8 Total Spectral Count,115_1_Oocyte_Intensity,119_2_Oocyte_Intensity,124_3_Oocyte_Intensity,2_5_Oocyte_Intensity,4_6_Oocyte_Intensity,57_4_Oocyte_Intensity,5_7_Oocyte_Intensity,d6_8_Oocyte_Intensity,115_1 MaxLFQ_Oocyte_Intensity,119_2 MaxLFQ_Oocyte_Intensity,124_3 MaxLFQ_Oocyte_Intensity,2_5 MaxLFQ_Oocyte_Intensity,4_6 MaxLFQ_Oocyte_Intensity,57_4 MaxLFQ_Oocyte_Intensity,5_7 MaxLFQ_Oocyte_Intensity,d6_8 MaxLFQ_Oocyte_Intensity,Indistinguishable Proteins
sp|B0S6C5|RTSTL_DANRE,B0S6C5,RTSTL_DANRE,retsatl,604,Danio rerio,1:Experimental evidence at protein level,"Inactive all-trans-retinol 13,14-reductase",1,0.9939,13,36,36,36,5,4,4,2,3,3,10,5,5,4,4,2,3,3,10,5,5,4,4,2,3,3,10,5,4450300900,4442400800,4127069700,498328288,2473606400,1781911040,5129230800,4114657280,1053753090,884900160,2295738110,627577280,938241470,431429728,1231058690,1152128260,
sp|B5DE31|YBOX1_DANRE,B5DE31,YBOX1_DANRE,ybx1,310,Danio rerio,1:Experimental evidence at protein level,Y-box-binding protein 1,0.6015,0.949,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11094309,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|F1QCN0|GAL3A_DANRE,F1QCN0,GAL3A_DANRE,gatd3,262,Danio rerio,3:Protein inferred from homology,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",0.4679,0.9156,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9721472,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|O73872|SODC_DANRE,O73872,SODC_DANRE,sod1,154,Danio rerio,2:Experimental evidence at transcript level,Superoxide dismutase [Cu-Zn],1,0.9638,4,11,11,11,1,0,0,1,2,2,2,3,1,0,0,1,2,2,2,3,1,0,0,1,2,2,2,3,114443776,0,0,850130820,898529340,98086144,252928544,2746992640,153525184,0,0,458373248,992156290,98353000,166125184,809321860,
sp|Q0IIP8|CRP_DANRE,Q0IIP8,CRP_DANRE,crp,225,Danio rerio,1:Experimental evidence at protein level,C-reactive protein,1,0.9203,3,7,7,7,2,0,1,1,1,2,0,0,2,0,1,1,1,2,0,0,2,0,1,1,1,2,0,0,195636160,0,47904376,172579040,241571744,332176672,0,0,159181328,0,0,172579040,241571744,228328480,0,0,
sp|Q1MTI4|TPISA_DANRE,Q1MTI4,TPISA_DANRE,tpi1a,248,Danio rerio,2:Experimental evidence at transcript level,Triosephosphate isomerase A,1,0.9678,8,23,16,23,1,2,0,5,6,1,2,6,1,1,0,3,4,1,2,4,1,2,0,5,6,1,2,6,62798000,475920128,0,2958688770,3780154880,198648096,1369248510,2733632770,178252880,620608580,0,1100230660,1316171260,421969312,541918780,841002500,
sp|Q5XJ10|G3P_DANRE,Q5XJ10,G3P_DANRE,gapdh,333,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase,1,0.9976,15,97,96,97,12,10,11,7,10,12,16,19,12,10,11,7,10,11,16,19,12,10,11,7,10,12,16,19,11153906700,10928072700,14795101200,6746775000,11529910300,7256175100,14079971300,21051248600,3554505470,3258445820,5545852900,2759291390,3725201660,2157970180,4379298800,5947791400,
sp|Q6IQM2|CYC_DANRE,Q6IQM2,CYC_DANRE,cyc,104,Danio rerio,3:Protein inferred from homology,Cytochrome c,0.7089,0.9678,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16672366,33025908,0,0,50469564,0,0,0,16672366,33025908,0,0,50469564,
sp|Q6PE25|EF1G_DANRE,Q6PE25,EF1G_DANRE,eef1g,442,Danio rerio,2:Experimental evidence at transcript level,Elongation factor 1-gamma,1,0.9818,6,20,20,20,4,2,0,1,2,3,5,3,4,2,0,1,2,3,5,3,4,2,0,1,2,3,5,3,1603503360,1444601980,0,402167456,1163721980,288974144,1870602370,1249554180,599835970,838319300,0,410468032,631845180,162678176,649177150,487086976,
sp|Q7ZUY3|H2AX_DANRE,Q7ZUY3,H2AX_DANRE,h2ax,142,Danio rerio,2:Experimental evidence at transcript level,Histone H2AX,1,0.921,3,6,5,6,2,1,2,0,0,0,1,0,2,1,1,0,0,0,1,0,2,1,2,0,0,0,1,0,68129760,122039800,41048.68,0,0,0,99257856,0,51834392,85404744,0,0,0,0,76886792,0,
sp|Q7ZVB2|A9A1A_DANRE,Q7ZVB2,A9A1A_DANRE,aldh9a1a,508,Danio rerio,2:Experimental evidence at transcript level,4-trimethylaminobutyraldehyde dehydrogenase A,1,0.9614,3,9,9,9,1,0,0,0,2,2,2,2,1,0,0,0,2,2,2,2,1,0,0,0,2,2,2,2,443593696,301979072,0,0,733989250,115634880,429476288,576755780,279871936,178324960,0,0,418022176,99613904,273794112,362504032,
sp|Q7ZVI7|ACTB1_DANRE,Q7ZVI7,ACTB1_DANRE,actba,375,Danio rerio,1:Experimental evidence at protein level,"Actin, cytoplasmic 1",1,0.9976,20,95,4,95,18,13,5,7,7,11,14,20,0,1,0,0,1,0,0,2,18,13,5,7,7,11,14,20,24853561300,25829515300,6838246400,7476086300,15704909800,6879737300,23429337100,50423378000,4487183400,5579735000,9863789600,3651627520,5916298200,1379694460,4969902600,11301417000,
sp|Q803F6|RSSA_DANRE,Q803F6,RSSA_DANRE,rpsa,308,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein uS2,0.9928,0.9434,1,2,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,120896184,95753024,216842400,0,0,0,0,0,120896184,95753024,216842400,0,0,0,0,0,
sp|Q8JFV8|VAT1_DANRE,Q8JFV8,VAT1_DANRE,vat1,484,Danio rerio,2:Experimental evidence at transcript level,Synaptic vesicle membrane protein VAT-1 homolog,1,0.964,4,7,7,7,1,0,0,0,1,0,3,2,1,0,0,0,1,0,3,2,1,0,0,0,1,0,3,2,220051424,243916672,0,0,195668848,56130260,349660512,307009280,133520824,104115624,0,0,179946960,51620220,167207152,379924608,
sp|Q8JIU7|NACA_DANRE,Q8JIU7,NACA_DANRE,naca,215,Danio rerio,1:Experimental evidence at protein level,Nascent polypeptide-associated complex subunit alpha,1,0.9858,4,16,16,16,3,1,3,0,0,2,4,3,3,1,3,0,0,2,4,3,3,1,3,0,0,2,4,3,425393504,308754624,749111420,0,0,208894592,694604860,1172796420,187331616,174835984,306334560,0,0,91688600,244987136,412722240,
