Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,TL1a Spectral Count,TL1b Spectral Count,TL2a Spectral Count,TL2b Spectral Count,TL1a Unique Spectral Count,TL1b Unique Spectral Count,TL2a Unique Spectral Count,TL2b Unique Spectral Count,TL1a Total Spectral Count,TL1b Total Spectral Count,TL2a Total Spectral Count,TL2b Total Spectral Count,TL1a_6dpf_Intensity,TL1b_6dpf_Intensity,TL2a_6dpf_Intensity,TL2b_6dpf_Intensity,TL1a MaxLFQ_6dpf_Intensity,TL1b MaxLFQ_6dpf_Intensity,TL2a MaxLFQ_6dpf_Intensity,TL2b MaxLFQ_6dpf_Intensity,Indistinguishable Proteins
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,0.909,0.9983,1,3,3,3,1,2,0,0,1,2,0,0,1,2,0,0,315473088,315989888,0,0,315473088,315989888,0,0,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,1,0.999,6,32,32,32,11,10,9,2,11,10,9,2,11,10,9,2,390702816,236072384,278513984,24031992,62624560,74916600,126286280,76703000,
sp|A0A0R4IDP3|ZH15A_DANRE,A0A0R4IDP3,ZH15A_DANRE,zdhhc15a,328,Danio rerio,3:Protein inferred from homology,Palmitoyltransferase ZDHHC15A,0.2775,0.9572,1,9,9,9,4,1,3,1,4,1,3,1,4,1,3,1,10740632,0,0,0,0,0,0,0,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,5,26,26,26,9,5,8,4,9,5,8,4,9,5,8,4,2255417860,2663439360,1460110080,782701310,819228420,1179937150,1067095870,600329470,
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,1,0.999,14,76,76,76,21,25,14,16,21,25,14,16,21,25,14,16,3960435200,4157452800,2587292420,3285845250,1280550530,1207143170,1212770560,1452338690,
sp|A0A0R4IWI1|COE1A_DANRE,A0A0R4IWI1,COE1A_DANRE,ebf1a,591,Danio rerio,2:Experimental evidence at transcript level,Transcription factor COE1-A,0.992,0.9975,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
sp|A0A2R8Q1W5|KEP1B_DANRE,A0A2R8Q1W5,KEP1B_DANRE,keap1b,587,Danio rerio,1:Experimental evidence at protein level,Kelch-like ECH-associated protein 1B,0.9153,0.9698,1,6,6,6,1,2,1,2,1,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,
sp|A0A2R8QP51|DPP9_DANRE,A0A2R8QP51,DPP9_DANRE,dpp9,885,Danio rerio,3:Protein inferred from homology,Dipeptidyl peptidase 9,0.9928,0.9816,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,7353751,476999168,0,0,0,0,0,
sp|A0A8M1N5Y4|TMX3A_DANRE,A0A8M1N5Y4,TMX3A_DANRE,tmx3a,437,Danio rerio,2:Experimental evidence at transcript level,Protein disulfide-isomerase tmx3a,0.898,0.9663,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
sp|A0A8M2BID5|DESPA_DANRE,A0A8M2BID5,DESPA_DANRE,dspa,2059,Danio rerio,2:Experimental evidence at transcript level,Desmoplakin-A,1,0.999,13,41,41,41,13,13,6,9,13,13,6,9,13,13,6,9,1858184060,1364553470,623756350,1682691200,387082176,272398464,228388256,363188800,
