Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,Bad_oocyte_1 Spectral Count,Good_oocyte_1 Spectral Count,Bad_oocyte_1 Unique Spectral Count,Good_oocyte_1 Unique Spectral Count,Bad_oocyte_1 Total Spectral Count,Good_oocyte_1 Total Spectral Count,Bad_oocyte_1 Intensity,Good_oocyte_1 Intensity,Indistinguishable Proteins
sp|A0A0R4IBK5|R213A_DANRE,A0A0R4IBK5,R213A_DANRE,rnf213a,5209,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase rnf213-alpha,1,0.9952,1,1,1,1,1,0,1,0,1,0,228893008,0,
sp|A0MTA1|APEX1_DANRE,A0MTA1,APEX1_DANRE,apex1,310,Danio rerio,1:Experimental evidence at protein level,DNA repair nuclease APEX1,1,0.999,19,35,35,35,23,12,23,12,23,12,1030654590,199476112,
sp|A1L243|MESD_DANRE,A1L243,MESD_DANRE,mesd,206,Danio rerio,2:Experimental evidence at transcript level,LRP chaperone MESD,0.9956,0.9855,2,2,2,2,1,1,1,1,1,1,26785222,3050553,
sp|A3QK16|ERLN2_DANRE,A3QK16,ERLN2_DANRE,erlin2,331,Danio rerio,2:Experimental evidence at transcript level,Erlin-2,1,0.9902,6,6,6,6,6,0,6,0,6,0,34092068,0,
sp|A4QNZ7|P33MX_DANRE,A4QNZ7,P33MX_DANRE,p33monox,317,Danio rerio,1:Experimental evidence at protein level,Putative monooxygenase p33MONOX,0.9225,0.9944,1,2,2,2,1,1,1,1,1,1,793458.94,149945.31,
sp|A5HAK0|RNSL3_DANRE,A5HAK0,RNSL3_DANRE,rnasel3,149,Danio rerio,1:Experimental evidence at protein level,Ribonuclease-like 3,0.932,0.9952,1,1,1,1,1,0,1,0,1,0,5873459.5,0,
sp|A5PF48|MYO1C_DANRE,A5PF48,MYO1C_DANRE,myo1c,1026,Danio rerio,3:Protein inferred from homology,Unconventional myosin-Ic,0.9644,0.9952,1,1,1,1,1,0,1,0,1,0,0,0,
sp|A5PLK2|LHPP_DANRE,A5PLK2,LHPP_DANRE,lhpp,270,Danio rerio,2:Experimental evidence at transcript level,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,0.9901,0.9737,1,1,1,1,1,0,1,0,1,0,1889809.9,1229585.4,
sp|A5PMX1|ZNT7_DANRE,A5PMX1,ZNT7_DANRE,slc30a7,387,Danio rerio,2:Experimental evidence at transcript level,Zinc transporter 7,0.932,0.9952,1,1,1,1,1,0,1,0,1,0,0,0,
sp|A9JRC7|PP4CB_DANRE,A9JRC7,PP4CB_DANRE,ppp4cb,307,Danio rerio,2:Experimental evidence at transcript level,Serine/threonine-protein phosphatase 4 catalytic subunit B,1,0.999,4,6,4,6,4,2,2,2,4,2,68053024,20557814,
sp|A9JRE2|MTNA_DANRE,A9JRE2,MTNA_DANRE,mri1,353,Danio rerio,2:Experimental evidence at transcript level,Methylthioribose-1-phosphate isomerase,0.932,0.9952,1,1,1,1,1,0,1,0,1,0,0,0,
sp|B0R0D7|COR1C_DANRE,B0R0D7,COR1C_DANRE,coro1ca,474,Danio rerio,2:Experimental evidence at transcript level,Coronin-1C-A,1,0.9956,3,3,3,3,2,1,2,1,2,1,7380359,16604338,
sp|B0S6C5|RTSTL_DANRE,B0S6C5,RTSTL_DANRE,retsatl,604,Danio rerio,1:Experimental evidence at protein level,"Inactive all-trans-retinol 13,14-reductase",1,0.9984,27,101,101,101,31,70,31,70,31,70,13984611300,6355861000,
sp|B5DE31|YBOX1_DANRE,B5DE31,YBOX1_DANRE,ybx1,310,Danio rerio,1:Experimental evidence at protein level,Y-box-binding protein 1,1,0.995,4,13,13,13,4,9,4,9,4,9,5896290,23193568,
sp|B8A5I7|SSBP_DANRE,B8A5I7,SSBP_DANRE,ssbp1,146,Danio rerio,1:Experimental evidence at protein level,"Single-stranded DNA-binding protein, mitochondrial",1,0.9952,4,7,7,7,2,5,2,5,2,5,17857790,67564368,
sp|B8JMH0|CAF17_DANRE,B8JMH0,CAF17_DANRE,iba57,354,Danio rerio,3:Protein inferred from homology,"Putative transferase CAF17 homolog, mitochondrial",0.9991,0.9962,1,2,2,2,1,1,1,1,1,1,2453436.8,2074771.1,
sp|E7EY42|PTSS2_DANRE,E7EY42,PTSS2_DANRE,ptdss2,452,Danio rerio,3:Protein inferred from homology,Phosphatidylserine synthase 2,0.9965,0.9952,1,1,1,1,1,0,1,0,1,0,6071204.5,0,
sp|E7FDW8|TRD7B_DANRE,E7FDW8,TRD7B_DANRE,tdrd7b,1085,Danio rerio,3:Protein inferred from homology,Tudor domain-containing protein 7B,0.6863,0.9705,1,1,1,1,1,0,1,0,1,0,0,0,
sp|E9QI36|HARS1_DANRE,E9QI36,HARS1_DANRE,hars,513,Danio rerio,3:Protein inferred from homology,Histidine--tRNA ligase,1,0.993,3,4,1,4,2,2,1,0,2,2,55127024,31425104,
sp|F1Q575|NNRD_DANRE,F1Q575,NNRD_DANRE,naxd,330,Danio rerio,3:Protein inferred from homology,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,0.9995,0.9929,2,2,2,2,2,0,2,0,2,0,13649032,1765487.8,
sp|F1QGW6|IF2G_DANRE,F1QGW6,IF2G_DANRE,eif2s3,472,Danio rerio,3:Protein inferred from homology,Eukaryotic translation initiation factor 2 subunit 3,1,0.999,6,12,12,12,6,6,6,6,6,6,157927104,146026784,
sp|F1QWW8|KDSR_DANRE,F1QWW8,KDSR_DANRE,kdsr,332,Danio rerio,1:Experimental evidence at protein level,3-dehydrosphinganine reductase,0.9765,0.9984,1,2,2,2,1,1,1,1,1,1,3725859.2,1061177.8,
sp|F1QXM5|LDHD_DANRE,F1QXM5,LDHD_DANRE,ldhd,497,Danio rerio,2:Experimental evidence at transcript level,"Probable D-lactate dehydrogenase, mitochondrial",0.9982,0.9989,2,3,3,3,1,2,1,2,1,2,22369482,13903876,
sp|F6P3G4|PS11A_DANRE,F6P3G4,PS11A_DANRE,psmd11a,421,Danio rerio,2:Experimental evidence at transcript level,26S proteasome non-ATPase regulatory subunit 11A,1,0.999,27,31,21,31,27,4,18,3,27,4,845649980,77812408,
sp|F8W2M8|TPP1_DANRE,F8W2M8,TPP1_DANRE,tpp1,557,Danio rerio,1:Experimental evidence at protein level,Tripeptidyl-peptidase 1,1,0.9989,7,18,18,18,10,8,10,8,10,8,1009507900,275695808,
sp|O42248|GBLP_DANRE,O42248,GBLP_DANRE,gnb2l1,317,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein RACK1,1,0.999,16,33,33,33,18,15,18,15,18,15,1602171260,821382140,
sp|O57521|HS90B_DANRE,O57521,HS90B_DANRE,hsp90ab1,725,Danio rerio,1:Experimental evidence at protein level,Heat shock protein HSP 90-beta,1,0.9793,17,22,20,22,15,7,14,6,15,7,596411260,768165630,
sp|P13104|TPM1_DANRE,P13104,TPM1_DANRE,tpma,284,Danio rerio,2:Experimental evidence at transcript level,Tropomyosin alpha-1 chain,1,0.9989,5,10,10,10,6,4,6,4,6,4,277048160,58625620,
sp|P62084|RS7_DANRE,P62084,RS7_DANRE,rps7,194,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS7,1,0.9951,1,1,1,1,1,0,1,0,1,0,27515148,4454949,
sp|P62247|RS8_DANRE,P62247,RS8_DANRE,rps8,208,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS8,0.9968,0.965,2,3,3,3,2,1,2,1,2,1,3995276.8,3822510.5,
sp|P79733|RIR2_DANRE,P79733,RIR2_DANRE,rrm2,386,Danio rerio,1:Experimental evidence at protein level,Ribonucleoside-diphosphate reductase subunit M2,1,0.9985,12,20,20,20,10,10,10,10,10,10,263460672,81853640,
sp|P83571|RUVB2_DANRE,P83571,RUVB2_DANRE,ruvbl2,463,Danio rerio,1:Experimental evidence at protein level,RuvB-like 2,1,0.9971,7,7,7,7,4,3,4,3,4,3,77893392,40070296,
sp|Q05AM4|FAH2B_DANRE,Q05AM4,FAH2B_DANRE,faah2b,526,Danio rerio,2:Experimental evidence at transcript level,Fatty-acid amide hydrolase 2-B,1,0.9698,6,8,8,8,4,4,4,4,4,4,126513424,65685332,
sp|Q08C33|ISOC1_DANRE,Q08C33,ISOC1_DANRE,isoc1,283,Danio rerio,2:Experimental evidence at transcript level,Isochorismatase domain-containing protein 1,1,0.9971,4,5,5,5,4,1,4,1,4,1,44036712,22465042,
sp|Q0IIP8|CRP_DANRE,Q0IIP8,CRP_DANRE,crp,225,Danio rerio,1:Experimental evidence at protein level,C-reactive protein,1,0.9885,5,8,8,8,4,4,4,4,4,4,150183184,439250784,
sp|Q0P3Z2|PTER_DANRE,Q0P3Z2,PTER_DANRE,pter,349,Danio rerio,2:Experimental evidence at transcript level,Phosphotriesterase-related protein,1,0.998,6,9,9,9,4,5,4,5,4,5,124197128,70250616,
sp|Q0P487|NB5R2_DANRE,Q0P487,NB5R2_DANRE,cyb5r2,309,Danio rerio,2:Experimental evidence at transcript level,NADH-cytochrome b5 reductase 2,0.7638,0.9798,1,1,1,1,1,0,1,0,1,0,27262542,0,
sp|Q1JPS1|PCF5B_DANRE,Q1JPS1,PCF5B_DANRE,pcgf5b,232,Danio rerio,2:Experimental evidence at transcript level,Polycomb group RING finger protein 5-B,0.932,0.9952,1,1,1,1,1,0,1,0,1,0,0,0,
sp|Q1MTD3|MCES_DANRE,Q1MTD3,MCES_DANRE,rnmt,400,Danio rerio,3:Protein inferred from homology,mRNA cap guanine-N7 methyltransferase,1,0.9989,6,8,8,8,7,1,7,1,7,1,94949840,2907969,
sp|Q1MTI4|TPISA_DANRE,Q1MTI4,TPISA_DANRE,tpi1a,248,Danio rerio,2:Experimental evidence at transcript level,Triosephosphate isomerase A,1,0.9949,7,10,10,10,3,7,3,7,3,7,90453440,233367728,
sp|Q32PL1|PP1R7_DANRE,Q32PL1,PP1R7_DANRE,ppp1r7,345,Danio rerio,2:Experimental evidence at transcript level,Protein phosphatase 1 regulatory subunit 7,0.9999,0.9985,3,3,3,3,2,1,2,1,2,1,13113484,10171422,
sp|Q4QRK0|MAP11_DANRE,Q4QRK0,MAP11_DANRE,metap1,386,Danio rerio,2:Experimental evidence at transcript level,Methionine aminopeptidase 1,1,0.9989,4,4,4,4,4,0,4,0,4,0,66762796,0,
sp|Q4VBV9|NIT2_DANRE,Q4VBV9,NIT2_DANRE,nit2,277,Danio rerio,2:Experimental evidence at transcript level,Omega-amidase NIT2,1,0.9976,5,8,8,8,5,3,5,3,5,3,123775288,69455968,
sp|Q503C8|NUDC1_DANRE,Q503C8,NUDC1_DANRE,nudcd1,585,Danio rerio,2:Experimental evidence at transcript level,NudC domain-containing protein 1,1,0.997,7,9,9,9,2,7,2,7,2,7,34296912,127320112,
sp|Q503E9|IMA6_DANRE,Q503E9,IMA6_DANRE,kpna5,539,Danio rerio,2:Experimental evidence at transcript level,Importin subunit alpha-6,0.9347,0.9954,1,1,1,1,0,1,0,1,0,1,0,6048126,
sp|Q503S6|LTOR3_DANRE,Q503S6,LTOR3_DANRE,lamtor3,124,Danio rerio,2:Experimental evidence at transcript level,Ragulator complex protein LAMTOR3,0.932,0.9952,1,2,2,2,1,1,1,1,1,1,70754744,30195712,
sp|Q568D5|BABA2_DANRE,Q568D5,BABA2_DANRE,babam2,386,Danio rerio,1:Experimental evidence at protein level,BRISC and BRCA1-A complex member 2,0.9844,0.9989,1,1,1,1,1,0,1,0,1,0,0,0,
sp|Q568L5|A1A1B_DANRE,Q568L5,A1A1B_DANRE,akr1a1b,324,Danio rerio,2:Experimental evidence at transcript level,Aldo-keto reductase family 1 member A1-B,1,0.999,15,41,41,41,17,24,17,24,17,24,1801788670,329117216,
sp|Q568V3|FBX50_DANRE,Q568V3,FBX50_DANRE,nccrp1,237,Danio rerio,2:Experimental evidence at transcript level,F-box only protein 50,0.9998,0.9921,2,2,2,2,2,0,2,0,2,0,69485464,1355698.2,
sp|Q58EB4|HIBCH_DANRE,Q58EB4,HIBCH_DANRE,hibch,382,Danio rerio,2:Experimental evidence at transcript level,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",1,0.9978,10,16,16,16,8,8,8,8,8,8,88429928,29767130,
sp|Q58EG2|ERLN1_DANRE,Q58EG2,ERLN1_DANRE,erlin1,342,Danio rerio,2:Experimental evidence at transcript level,Erlin-1,1,0.9982,3,4,4,4,2,2,2,2,2,2,16703798,14515496,
sp|Q58EJ9|MARC1_DANRE,Q58EJ9,MARC1_DANRE,mtarc1,325,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial amidoxime-reducing component 1,1,0.9974,9,13,13,13,5,8,5,8,5,8,68619856,79421912,
sp|Q58EM4|ARMT1_DANRE,Q58EM4,ARMT1_DANRE,armt1,448,Danio rerio,2:Experimental evidence at transcript level,Damage-control phosphatase ARMT1,1,0.9904,5,6,6,6,2,4,2,4,2,4,117260152,46887908,
sp|Q5BJJ7|BCCIP_DANRE,Q5BJJ7,BCCIP_DANRE,bccip,301,Danio rerio,2:Experimental evidence at transcript level,Protein BCCIP homolog,0.8847,0.9914,1,1,1,1,1,0,1,0,1,0,6918397.5,0,
sp|Q5D016|PFD1_DANRE,Q5D016,PFD1_DANRE,pfdn1,122,Danio rerio,2:Experimental evidence at transcript level,Prefoldin subunit 1,1,0.9952,3,3,3,3,3,0,3,0,3,0,52200976,4444097.5,
sp|Q5D018|RBM8A_DANRE,Q5D018,RBM8A_DANRE,rbm8a,174,Danio rerio,2:Experimental evidence at transcript level,RNA-binding protein 8A,0.8509,0.9885,1,1,1,1,1,0,1,0,1,0,22883628,0,
sp|Q5MJ86|G3P2_DANRE,Q5MJ86,G3P2_DANRE,gapdh-2,335,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase 2,1,0.9971,5,3,3,7,2,1,2,1,4,3,11756420,387064.06,
sp|Q5PRD0|143BA_DANRE,Q5PRD0,143BA_DANRE,ywhaba,244,Danio rerio,2:Experimental evidence at transcript level,14-3-3 protein beta/alpha-A,0.9999,0.9958,3,4,0,4,3,1,0,0,3,1,68699536,113002976,
sp|Q5RGE6|HSP7E_DANRE,Q5RGE6,HSP7E_DANRE,hspa14,504,Danio rerio,2:Experimental evidence at transcript level,Heat shock 70 kDa protein 14,1,0.9756,5,6,6,6,2,4,2,4,2,4,9748158,12472994,
sp|Q5RGQ2|ANM8B_DANRE,Q5RGQ2,ANM8B_DANRE,prmt8b,419,Danio rerio,2:Experimental evidence at transcript level,Protein arginine N-methyltransferase 8-B,0.6925,0.9713,1,1,1,1,0,1,0,1,0,1,0,0,
sp|Q5SPD7|P5CR3_DANRE,Q5SPD7,P5CR3_DANRE,pycr3,288,Danio rerio,2:Experimental evidence at transcript level,Pyrroline-5-carboxylate reductase 3,1,0.9988,4,6,6,6,3,3,3,3,3,3,50606976,51764828,
sp|Q5TYS5|SCRN2_DANRE,Q5TYS5,SCRN2_DANRE,scrn2,415,Danio rerio,2:Experimental evidence at transcript level,Secernin-2,1,0.9988,2,3,3,3,3,0,3,0,3,0,19108524,0,
sp|Q5U3I2|S7A6O_DANRE,Q5U3I2,S7A6O_DANRE,slc7a6os,326,Danio rerio,2:Experimental evidence at transcript level,Probable RNA polymerase II nuclear localization protein SLC7A6OS,0.7885,0.9825,1,2,2,2,1,1,1,1,1,1,6630236,1416249,
sp|Q5U3P0|PCID2_DANRE,Q5U3P0,PCID2_DANRE,pcid2,399,Danio rerio,2:Experimental evidence at transcript level,PCI domain-containing protein 2,0.9985,0.9808,2,2,2,2,1,1,1,1,1,1,2997114.5,4701188.5,
sp|Q5U3U3|CPT2_DANRE,Q5U3U3,CPT2_DANRE,cpt2,669,Danio rerio,2:Experimental evidence at transcript level,"Carnitine O-palmitoyltransferase 2, mitochondrial",1,0.9856,6,8,8,8,3,5,3,5,3,5,34759352,63051980,
sp|Q5U403|MVD1_DANRE,Q5U403,MVD1_DANRE,mvd,400,Danio rerio,2:Experimental evidence at transcript level,Diphosphomevalonate decarboxylase,1,0.9934,6,6,6,6,6,0,6,0,6,0,47625112,0,
sp|Q5XIZ6|GPD1L_DANRE,Q5XIZ6,GPD1L_DANRE,gpd1l,351,Danio rerio,2:Experimental evidence at transcript level,Glycerol-3-phosphate dehydrogenase 1-like protein,1,0.9989,11,21,21,21,11,10,11,10,11,10,216966624,47649228,
sp|Q5XJ10|G3P_DANRE,Q5XJ10,G3P_DANRE,gapdh,333,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase,1,0.999,23,321,317,321,222,99,220,97,222,99,48129430000,12308010000,
sp|Q5XJ36|PARK7_DANRE,Q5XJ36,PARK7_DANRE,park7,189,Danio rerio,2:Experimental evidence at transcript level,Parkinson disease protein 7 homolog,1,0.9902,6,13,13,13,5,8,5,8,5,8,650768770,431698656,
sp|Q5XJ54|GLRX3_DANRE,Q5XJ54,GLRX3_DANRE,glrx3,326,Danio rerio,2:Experimental evidence at transcript level,Glutaredoxin 3,1,0.999,14,24,24,24,15,9,15,9,15,9,618739840,129168816,
sp|Q5XJA5|HABP4_DANRE,Q5XJA5,HABP4_DANRE,habp4,347,Danio rerio,1:Experimental evidence at protein level,Intracellular hyaluronan-binding protein 4,1,0.999,7,21,21,21,12,9,12,9,12,9,474819328,88683296,
sp|Q642M9|DHDH_DANRE,Q642M9,DHDH_DANRE,dhdh,334,Danio rerio,2:Experimental evidence at transcript level,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",1,0.9986,8,14,14,14,9,5,9,5,9,5,138976080,43817252,
sp|Q68EI0|WDR18_DANRE,Q68EI0,WDR18_DANRE,wdr18,431,Danio rerio,2:Experimental evidence at transcript level,WD repeat-containing protein 18,1,0.999,10,12,12,12,12,0,12,0,12,0,168817216,0,
sp|Q6AXJ2|EI3HA_DANRE,Q6AXJ2,EI3HA_DANRE,eif3ha,335,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit H-A,1,0.9988,9,20,16,20,14,6,10,6,14,6,335479936,81185312,
sp|Q6AZA0|THIL_DANRE,Q6AZA0,THIL_DANRE,acat1,420,Danio rerio,2:Experimental evidence at transcript level,"Acetyl-CoA acetyltransferase, mitochondrial",1,0.999,14,32,32,32,13,19,13,19,13,19,567170560,451330432,
sp|Q6AZB3|CPIN1_DANRE,Q6AZB3,CPIN1_DANRE,ciapin1,311,Danio rerio,2:Experimental evidence at transcript level,Anamorsin,1,0.999,7,14,14,14,7,7,7,7,7,7,237533584,26345282,
sp|Q6DBT3|TXD17_DANRE,Q6DBT3,TXD17_DANRE,txndc17,123,Danio rerio,2:Experimental evidence at transcript level,Thioredoxin domain-containing protein 17,1,0.9952,3,3,3,3,2,1,2,1,2,1,93937608,72617848,
sp|Q6DBU5|GMPPB_DANRE,Q6DBU5,GMPPB_DANRE,gmppb,360,Danio rerio,1:Experimental evidence at protein level,Mannose-1-phosphate guanylyltransferase catalytic subunit beta,1,0.9989,7,14,14,14,8,6,8,6,8,6,91001048,59182740,
