Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,Set_1_1 Spectral Count,Set_1_2 Spectral Count,Set_1_3 Spectral Count,Set_2_1 Spectral Count,Set_2_2 Spectral Count,Set_2_3 Spectral Count,Set_1_1 Unique Spectral Count,Set_1_2 Unique Spectral Count,Set_1_3 Unique Spectral Count,Set_2_1 Unique Spectral Count,Set_2_2 Unique Spectral Count,Set_2_3 Unique Spectral Count,Set_1_1 Total Spectral Count,Set_1_2 Total Spectral Count,Set_1_3 Total Spectral Count,Set_2_1 Total Spectral Count,Set_2_2 Total Spectral Count,Set_2_3 Total Spectral Count,Set_1_1_7-10dpf_Intensity,Set_1_2_7-10dpf_Intensity,Set_1_3_7-10dpf_Intensity,Set_2_1_7-10dpf_Intensity,Set_2_2_7-10dpf_Intensity,Set_2_3_7-10dpf_Intensity,Set_1_1 MaxLFQ_7-10dpf_Intensity,Set_1_2 MaxLFQ_7-10dpf_Intensity,Set_1_3 MaxLFQ_7-10dpf_Intensity,Set_2_1 MaxLFQ_7-10dpf_Intensity,Set_2_2 MaxLFQ_7-10dpf_Intensity,Set_2_3 MaxLFQ_7-10dpf_Intensity,Indistinguishable Proteins
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,1,0.9989,14,133,133,133,20,24,18,20,26,25,20,24,18,20,26,25,20,24,18,20,26,25,28275712,25866658,45075456,46023088,66224800,80410544,10638684,10060502,10559085,12780437,11951010,13279807,
sp|A0A0R4IB93|UBP48_DANRE,A0A0R4IB93,UBP48_DANRE,usp48,1047,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 48,0.9818,0.9961,2,3,3,3,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,1,0.9987,12,47,47,47,7,6,7,9,7,11,7,6,7,9,7,11,7,6,7,9,7,11,16540295,14944080,12781726,18692828,16545433,19493726,9391614,9083135,7143742.5,7981666.5,6617768.5,7814542,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.999,19,433,433,433,66,67,64,81,76,79,66,67,64,81,76,79,66,67,64,81,76,79,258248176,252176224,253568016,312502208,316246048,313217536,68788160,66470236,66772612,72603760,72467816,75893216,
sp|A0A0R4IKJ1|CAPAM_DANRE,A0A0R4IKJ1,CAPAM_DANRE,pcif1,721,Danio rerio,1:Experimental evidence at protein level,mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase,1,0.9973,5,20,20,20,1,2,3,6,5,3,1,2,3,6,5,3,1,2,3,6,5,3,6883352,7966496,8373798,6865888.5,5493797,6391566.5,3718566.2,4223201,4004740.8,6208654.5,5125795.5,4777999,
sp|A0A0R4IKU3|RECK_DANRE,A0A0R4IKU3,RECK_DANRE,reck,955,Danio rerio,1:Experimental evidence at protein level,Reversion-inducing cysteine-rich protein with Kazal motifs,1,0.999,6,66,66,66,18,18,14,5,7,4,18,18,14,5,7,4,18,18,14,5,7,4,6473291.5,6869189.5,6455827,2032934.8,2066337.8,2056961.5,2196433.2,2243613,2149907.5,1270853.2,1536734,1271958.9,
sp|A0A0R4ITC5|TRRAP_DANRE,A0A0R4ITC5,TRRAP_DANRE,trrap,3841,Danio rerio,3:Protein inferred from homology,Transformation/transcription domain-associated protein,1,0.999,30,132,132,132,18,18,15,30,25,26,18,18,15,30,25,26,18,18,15,30,25,26,27275376,28857638,28503588,89127312,82741368,80796872,17962240,18863490,18040872,24433678,24224160,24400630,
sp|A0A0R4IVV0|MTP_DANRE,A0A0R4IVV0,MTP_DANRE,mttp,884,Danio rerio,1:Experimental evidence at protein level,Microsomal triglyceride transfer protein large subunit,1,0.999,29,591,591,591,124,124,120,74,70,79,124,124,120,74,70,79,124,124,120,74,70,79,320601408,331388320,312804480,174908000,179106064,180387312,43805372,43616616,42157668,24635966,23361554,23692182,
sp|A0A0R4IWI1|COE1A_DANRE,A0A0R4IWI1,COE1A_DANRE,ebf1a,591,Danio rerio,2:Experimental evidence at transcript level,Transcription factor COE1-A,1,0.9984,5,55,32,55,9,8,11,9,10,8,5,4,5,5,7,6,9,8,11,9,10,8,9646598,8558653,9393905,10202569,10912342,10568530,4602447.5,4191416.8,4412649,3918568.2,4515532,4289428,
sp|A0A2R8QF68|GRIK2_DANRE,A0A2R8QF68,GRIK2_DANRE,grik2,908,Danio rerio,3:Protein inferred from homology,"Glutamate receptor ionotropic, kainate 2",1,0.999,3,22,22,22,0,1,1,9,8,3,0,1,1,9,8,3,0,1,1,9,8,3,9241426,8821633,10141620,10213672,9805220,9640037,7516684.5,7853190,7685212.5,8930228,8526325,7676560,
