Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,6hpf Spectral Count,6hpf Unique Spectral Count,6hpf Total Spectral Count,6hpf Intensity,Indistinguishable Proteins
sp|A0A0G2KQY6|S39AE_DANRE,A0A0G2KQY6,S39AE_DANRE,slc39a14,494,Danio rerio,2:Experimental evidence at transcript level,Metal cation symporter ZIP14,0.9764,0.9984,2,2,2,2,2,2,2,284129088,
sp|A0A0G2KTI4|S12A2_DANRE,A0A0G2KTI4,S12A2_DANRE,slc12a2,1136,Danio rerio,1:Experimental evidence at protein level,Solute carrier family 12 member 2,1,0.999,24,43,43,43,43,43,43,13227909100,
sp|A0A0R4I9Y1|R213B_DANRE,A0A0R4I9Y1,R213B_DANRE,rnf213b,5061,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase rnf213-beta,1,0.9699,9,17,17,17,17,17,17,7714313200,
sp|A0A0R4IB93|UBP48_DANRE,A0A0R4IB93,UBP48_DANRE,usp48,1047,Danio rerio,3:Protein inferred from homology,Ubiquitin carboxyl-terminal hydrolase 48,1,0.999,18,23,23,23,23,23,23,55914140000,
sp|A0A0R4IBK5|R213A_DANRE,A0A0R4IBK5,R213A_DANRE,rnf213a,5209,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase rnf213-alpha,1,0.999,55,70,70,70,70,70,70,12531434500,
sp|A0A0R4IBL7|HTF4_DANRE,A0A0R4IBL7,HTF4_DANRE,tcf12,726,Danio rerio,2:Experimental evidence at transcript level,Transcription factor 12,0.8948,0.9865,2,3,3,3,3,3,3,457986592,
sp|A0A0R4IC37|CPSF1_DANRE,A0A0R4IC37,CPSF1_DANRE,cpsf1,1451,Danio rerio,3:Protein inferred from homology,Cleavage and polyadenylation specificity factor subunit 1,1,0.999,47,95,95,95,95,95,95,17731375100,
sp|A0A0R4IES7|BLTP1_DANRE,A0A0R4IES7,BLTP1_DANRE,bltp1,4923,Danio rerio,3:Protein inferred from homology,Bridge-like lipid transfer protein family member 1,1,0.9985,39,56,56,56,56,56,56,17679218700,
sp|A0A0R4IEW8|ELAV4_DANRE,A0A0R4IEW8,ELAV4_DANRE,elavl4,411,Danio rerio,1:Experimental evidence at protein level,ELAV-like protein 4,1,0.9966,7,11,11,11,11,11,11,35886379000,
sp|A0A0R4IGV4|JAM2A_DANRE,A0A0R4IGV4,JAM2A_DANRE,jam2a,307,Danio rerio,2:Experimental evidence at transcript level,Junctional adhesion molecule 2A,0.9998,0.9959,3,4,4,4,4,4,4,524679296,
